"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and [[often]] [[affecting]] [[journey]] . ","it 's a [[splendid]] and [[steadily]] [[afflicts]] [[circuits]] . ",0.0021170973777770996,0.0891464352607727,1,1,1,144,"Failed"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[eerie]] and desperate ",0.022162914276123047,0.9002819061279297,0,1,0,33,"Successful"
"[[allows]] us to hope that nolan is [[poised]] to embark a major career as a commercial yet [[inventive]] filmmaker . ","[[permitting]] us to hope that nolan is [[loans]] to embark a major career as a commercial yet [[inventor]] filmmaker . ",0.0021845102310180664,0.5169578790664673,1,0,1,133,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[breathless]] given the production 's austere locales . ",0.0038489103317260742,0.9030599594116211,1,0,1,25,"Successful"
"it 's slow -- [[very]] , [[very]] [[slow]] . ","it 's slow -- [[pretty]] , [[eminently]] [[lento]] . ",0.0033611059188842773,0.9145331978797913,0,1,0,116,"Successful"
"although [[laced]] with [[humor]] and a few [[fanciful]] touches , the film is a [[refreshingly]] serious look at [[young]] women . ","although [[chained]] with [[parody]] and a few [[glamorous]] touches , the film is a [[nonchalantly]] serious look at [[childish]] women . ",0.0021277666091918945,0.5029670000076294,1,0,1,171,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[industrious]] film . ",0.0043059587478637695,0.9382641911506653,0,1,0,43,"Successful"
"or doing [[last]] [[year]] 's [[taxes]] with your ex-wife . ","or doing [[definitive]] [[leto]] 's [[honorarium]] with your ex-wife . ",0.014690041542053223,0.8608394861221313,0,1,0,77,"Successful"
"you do n't [[have]] to know about music to [[appreciate]] the film 's easygoing [[blend]] of comedy and romance . ","you do n't [[got]] to know about music to [[tribute]] the film 's easygoing [[agitate]] of comedy and romance . ",0.0022501349449157715,0.9349324107170105,1,0,1,138,"Successful"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , [[formula]] 51 [[sank]] from quirky to [[jerky]] to [[utter]] turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , [[recipes]] 51 [[flowed]] from quirky to [[dried]] to [[fullest]] turkey . ",0.0044487714767456055,0.5596449375152588,0,1,0,143,"Successful"
"the [[mesmerizing]] [[performances]] of the leads [[keep]] the film [[grounded]] and [[keep]] the [[audience]] [[riveted]] . ","the [[mesmerising]] [[depictions]] of the leads [[persists]] the film [[substantiated]] and [[retained]] the [[moviegoers]] [[aghast]] . ",0.001856684684753418,0.1309124231338501,1,1,1,200,"Failed"
"it takes a strange kind of laziness to [[waste]] the [[talents]] of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same [[movie]] . ","it takes a strange kind of laziness to [[scrapings]] the [[skill]] of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same [[photographed]] . ",0.0036600828170776367,0.5633617043495178,0,1,0,155,"Successful"
"... the film [[suffers]] from a [[lack]] of humor ( something needed to balance out the violence ) ... ","... the film [[experiencing]] from a [[rarity]] of humor ( something needed to balance out the violence ) ... ",0.0024907588958740234,0.5693169832229614,0,1,0,98,"Successful"
"we root for ( clara and paul ) , even like them , [[though]] perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , [[than]] perhaps it 's an emotion closer to pity . ",0.326337993144989,0.8065969944000244,1,0,1,31,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[scarcity]] both thrills and humor . ",0.002648472785949707,0.9502102732658386,0,1,0,59,"Successful"
