"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[pretty]] and often [[afflicts]] journey . ",0.00015342235565185547,0.8499245047569275,1,0,1,66,"Successful"
"unflinchingly [[bleak]] and [[desperate]] ","unflinchingly [[baleful]] and [[frenetic]] ",0.000715792179107666,0.9973477721214294,0,1,0,57,"Successful"
"allows us to hope that nolan is poised to embark a [[major]] career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is poised to embark a [[heavy]] career as a commercial yet [[invention]] filmmaker . ",0.00023669004440307617,0.6998642683029175,1,0,1,80,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[staggering]] given the production 's austere locales . ",0.012143492698669434,0.5581692457199097,1,0,1,25,"Successful"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[lent]] . ",0.015497863292694092,0.7340669631958008,0,1,0,17,"Successful"
"although laced with humor and a few fanciful touches , the film is a [[refreshingly]] serious look at young women . ","although laced with humor and a few fanciful touches , the film is a [[blithely]] serious look at young women . ",0.00020879507064819336,0.6279440522193909,1,0,1,69,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[bulky]] film . ",0.0003113746643066406,0.9969167113304138,0,1,0,43,"Successful"
"or doing last year 's [[taxes]] with your ex-wife . ","or doing last year 's [[accusations]] with your ex-wife . ",0.0024336576461791992,0.7497730255126953,0,1,0,53,"Successful"
"you do n't have to know about [[music]] to appreciate the film 's easygoing [[blend]] of comedy and romance . ","you do n't have to know about [[chanson]] to appreciate the film 's easygoing [[amalgamated]] of comedy and romance . ",0.0015034675598144531,0.6728044748306274,1,0,1,66,"Successful"
"in exactly 89 [[minutes]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from quirky to jerky to utter turkey . ","in exactly 89 [[min]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[immersed]] from quirky to jerky to utter turkey . ",0.0007116198539733887,0.18030208349227905,0,0,0,80,"Failed"
